latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
47.6294311,-122.3452937,1,1,1,1,1,1,1125,0,,,,,,,,1,
47.63770585,-122.3439878,2,1,1,1,2,20,44,4,95,10,9,10,10,10,9,1,0.63
47.62917175,-122.3474787,2,1,1,1,2,2,1125,0,,,,,,,,5,
47.64219186,-122.3464303,4,1,1,2,1,2,1125,32,97,10,10,10,10,9,10,2,4.68
47.64034606,-122.3420882,2,1,1,1,2,2,1125,53,93,9,9,10,10,10,9,1,0.98
47.62905147,-122.3509893,7,4,3,3,1,3,1125,8,100,10,10,10,10,10,10,1,0.53
47.62983437,-122.3468722,4,2,2,2,2,1,1125,2,100,10,10,9,10,10,9,2,0.71
47.64051553,-122.344504,4,1,1,2,3,1,1125,7,100,10,10,10,10,10,10,2,2.66
47.63000397,-122.3451203,2,1,1,1,1,1,1125,1,80,10,10,10,10,8,6,2,0.34
47.64103958,-122.3444038,4,1,1,2,4,2,1125,49,95,10,10,10,10,9,9,5,5.81
47.63111242,-122.3439642,2,1,1,1,2,3,1125,59,98,10,10,10,10,9,10,1,3.45
47.64046804,-122.3557637,2,1,1,1,1,1,1125,0,,,,,,,,1,
47.63953892,-122.3448475,5,2.5,2,2,0,1,1125,0,,,,,,,,1,
47.64071111,-122.3463179,2,1,1,1,2,2,7,18,97,10,10,10,10,10,10,1,1.02
47.64145197,-122.3528848,2,1,1,1,1,3,10,63,99,10,10,10,10,10,10,1,2.76
47.64387483,-122.3461443,2,1,1,2,2,2,15,16,93,10,10,9,10,9,9,1,1.7
47.63911468,-122.3542986,6,2,3,3,1,1,1125,4,95,9,10,10,10,10,9,1,0.14
47.64032332,-122.3493863,6,3.5,4,4,1,2,16,3,100,10,10,10,10,10,10,1,1.07
47.62963743,-122.3561691,2,1,1,1,1,1,1125,0,,,,,,,,1,
47.63703759,-122.353111,6,1.5,3,3,4,4,14,2,100,10,9,10,10,10,10,1,0.37
47.63394912,-122.3496911,8,3,4,5,8,2,1125,14,99,10,10,10,10,10,10,1,1.57
47.63786752,-122.3530645,8,2,3,4,7,2,180,9,96,10,10,10,10,10,10,1,1.53
47.63736553,-122.352344,3,1,1,2,2,3,1125,11,98,10,10,10,10,10,10,1,1.98
47.63784754,-122.3535869,4,1,2,3,4,2,180,11,91,9,9,10,10,10,9,1,1.67
47.63180066,-122.3559977,4,2,2,2,3,2,9,1,100,10,10,10,10,10,10,1,0.24
47.63831372,-122.3429312,3,1,1,1,1,1,1125,1,100,10,10,10,10,10,10,1,0.53
47.62833641,-122.3463335,2,1,1,1,1,1,90,115,94,10,9,10,10,10,9,1,6.39
47.64007889,-122.3452415,3,1,1,1,1,2,1125,6,87,9,9,9,10,8,9,1,4.19
47.63892542,-122.3562882,4,1,1,1,0,1,180,10,92,10,10,10,10,10,9,1,1.46
47.64001746,-122.3451296,4,1,1,2,1,2,1125,21,96,10,10,10,10,9,10,2,4.88
47.63879043,-122.341579,4,1,1,2,2,2,1125,5,96,10,10,10,10,10,10,1,1.01
47.62919531,-122.3480345,4,1,1,1,2,2,1125,5,92,9,9,10,10,9,9,5,1.42
